record_id,age,annual_income,credit_score,country,kyc_verified,requested_amount,employment_type,decision,rule_id,reason
R00001,48,1408153,639,IN,FALSE,71885,unemployed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00002,74,1930127,766,SG,TRUE,991889,unemployed,review,R003_HIGH_AMOUNT_REVIEW,High requested amount requires manual review
R00003,20,351742,650,UK,FALSE,1234457,unemployed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00004,20,1073804,892,IN,FALSE,438766,unemployed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00005,31,1867268,752,US,FALSE,1379795,unemployed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00006,63,501318,728,UK,FALSE,1159144,self_employed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00007,69,326644,561,US,FALSE,276069,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00008,65,1610765,416,UK,TRUE,666910,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00009,67,1440109,348,US,FALSE,1332257,salaried,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00010,45,638774,659,SG,TRUE,1125798,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00011,40,1097466,807,UK,FALSE,479861,self_employed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00012,44,197667,591,IN,FALSE,1362837,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00013,61,352962,457,US,FALSE,109763,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00014,24,1845910,892,UK,TRUE,1302860,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00015,55,1926821,852,SG,TRUE,548361,self_employed,review,R003_HIGH_AMOUNT_REVIEW,High requested amount requires manual review
R00016,41,401575,495,US,TRUE,1048362,self_employed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00017,34,1259352,761,US,FALSE,493153,self_employed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00018,30,879724,872,UK,TRUE,284393,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00019,70,430684,868,SG,FALSE,58851,unemployed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00020,62,197843,888,UK,TRUE,1487251,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00021,32,231452,561,SG,FALSE,923197,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00022,49,1543367,570,DE,FALSE,450091,salaried,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00023,34,1759259,831,UK,TRUE,1092317,unemployed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00024,31,1004393,365,UK,FALSE,516533,self_employed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00025,63,133583,833,SG,TRUE,131944,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00026,48,297585,767,DE,FALSE,847593,self_employed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00027,66,782950,646,DE,TRUE,790162,unemployed,review,R003_HIGH_AMOUNT_REVIEW,High requested amount requires manual review
R00028,42,650602,809,IN,FALSE,619865,salaried,review,R003_HIGH_AMOUNT_REVIEW,High requested amount requires manual review
R00029,41,1496027,560,UK,FALSE,1082212,salaried,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00030,60,1059710,703,UK,FALSE,379043,salaried,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00031,33,288099,807,SG,TRUE,297237,unemployed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00032,56,1220290,558,SG,FALSE,303229,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00033,61,1773113,361,SG,TRUE,131003,self_employed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00034,32,213116,621,IN,TRUE,1128798,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00035,50,1903912,490,DE,FALSE,146381,salaried,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00036,74,1754124,858,US,FALSE,622890,unemployed,reject,R002_KYC_COMPLIANCE,Non-IN applicant without KYC verification
R00037,70,1237283,627,DE,TRUE,161856,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00038,73,1624766,452,UK,FALSE,1444293,salaried,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00039,19,812808,520,SG,FALSE,638616,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00040,54,314498,694,DE,TRUE,267804,self_employed,accept,R999_DEFAULT_ACCEPT,Meets all policy requirements
R00041,39,788275,532,UK,FALSE,883893,unemployed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00042,46,1044745,482,UK,TRUE,511732,self_employed,reject,R001_LOW_CREDIT,Credit score below minimum threshold
R00043,66,721824,650,IN,TRUE,851878,salaried,review,R003_HIGH_AMOUNT_REVIEW,High requested amount requires manual review
R00044,38,1291514,395,UK,FALSE,258011,salaried,reject,R001_LOW_CREDIT,Credit score below minimum threshold
