record_id,age,annual_income,credit_score,country,kyc_verified,requested_amount,employment_type,decision,rule_id,reason
R00001,48,1408153,639,IN,FALSE,71885,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00002,74,1930127,766,SG,TRUE,991889,unemployed,review,R3,Generated rule
R00003,20,351742,650,UK,FALSE,1234457,unemployed,reject,R2,Generated rule
R00004,20,1073804,892,IN,FALSE,438766,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00005,31,1867268,752,US,FALSE,1379795,unemployed,reject,R2,Generated rule
R00006,63,501318,728,UK,FALSE,1159144,self_employed,reject,R2,Generated rule
R00007,69,326644,561,US,FALSE,276069,unemployed,reject,R1,Generated rule
R00008,65,1610765,416,UK,TRUE,666910,unemployed,reject,R1,Generated rule
R00009,67,1440109,348,US,FALSE,1332257,salaried,reject,R1,Generated rule
R00010,45,638774,659,SG,TRUE,1125798,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00011,40,1097466,807,UK,FALSE,479861,self_employed,reject,R2,Generated rule
R00012,44,197667,591,IN,FALSE,1362837,unemployed,reject,R1,Generated rule
R00013,61,352962,457,US,FALSE,109763,unemployed,reject,R1,Generated rule
R00014,24,1845910,892,UK,TRUE,1302860,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00015,55,1926821,852,SG,TRUE,548361,self_employed,review,R3,Generated rule
R00016,41,401575,495,US,TRUE,1048362,self_employed,reject,R1,Generated rule
R00017,34,1259352,761,US,FALSE,493153,self_employed,reject,R2,Generated rule
R00018,30,879724,872,UK,TRUE,284393,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00019,70,430684,868,SG,FALSE,58851,unemployed,reject,R2,Generated rule
R00020,62,197843,888,UK,TRUE,1487251,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00021,32,231452,561,SG,FALSE,923197,unemployed,reject,R1,Generated rule
R00022,49,1543367,570,DE,FALSE,450091,salaried,reject,R1,Generated rule
R00023,34,1759259,831,UK,TRUE,1092317,unemployed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00024,31,1004393,365,UK,FALSE,516533,self_employed,reject,R1,Generated rule
R00025,63,133583,833,SG,TRUE,131944,self_employed,accept,R999_DEFAULT_ACCEPT,Default rule – no other rules matched
R00026,48,297585,767,DE,FALSE,847593,self_employed,reject,R2,Generated rule
R00027,66,782950,646,DE,TRUE,790162,unemployed,review,R3,Generated rule
